# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 8.804487101369801,4.586170438255841,5.030853834694289,-0.8708704748253918,0.33,0.0,-0.024224732130986887,180.0,-0.4612439099598677,0.0
 8.835631187627165,4.596446760063401,5.030695050071471,-0.8852354949428655,0.33,0.0,-0.0254423505527179,180.0,-0.48451171297507345,0.0
 8.86633390210714,4.606577405585734,5.030535885486721,-0.900111319728543,0.33,0.0,-0.026749444447240558,180.0,-0.5094949147598573,0.0
 8.896590701726408,4.616560874798951,5.030376346446734,-0.915527005271468,0.33,0.0,-0.028154487071979442,180.0,-0.5363565250559087,0.0
 8.926397043543247,4.626395667679165,5.030216438458204,-0.9315138311929763,0.33,0.0,-0.029666943408474377,180.0,-0.5652786555256933,0.0
 8.95574838476862,4.636080284202488,5.030056167027826,-0.9481055178987312,0.33,0.0,-0.03129740482229973,180.0,-0.5964651958517468,0.0
 8.98464018277835,4.645613224345031,5.029895537662296,-0.9653384698571135,0.33,0.0,-0.033057750824201336,180.0,-0.6301449257351068,0.0
 9.013067895126541,4.654992988082908,5.029734555868307,-0.9832520485435837,0.33,0.0,-0.034961339230569224,180.0,-0.6665751465401267,0.0
 9.041026979560403,4.664218075392231,5.029573227152555,-1.001888879347213,0.33,0.0,-0.03702321963986473,180.0,-0.7060459335373526,0.0
 9.06851289403661,4.67328698624911,5.029411557021733,-1.0212951974926945,0.33,0.0,-0.03926039770134992,180.0,-0.748885132212401,0.0
 9.095521096739493,4.68219822062966,5.029249550982538,-1.0415212389446618,0.33,0.0,-0.04169213065367858,180.0,-0.7954642428799452,0.0
 9.122047046101162,4.690950278509989,5.029087214541661,-1.0626216831703141,0.33,0.0,-0.044340292829259616,180.0,-0.8462053794493517,0.0
 9.14808620082401,4.699541659866215,5.028924553205801,-1.0846561559731012,0.33,0.0,-0.047229795218746616,180.0,-0.9015895365458015,0.0
 9.173634019905693,4.707970864674445,5.02876157248165,-1.1076898023387125,0.33,0.0,-0.05038909443446409,180.0,-0.9621664240326279,0.0
 9.198685962667204,4.716236392910793,5.028598277875902,-1.1317939405206257,0.33,0.0,-0.05385079699643583,180.0,-1.0285662456204876,0.0
 9.22323748878427,4.724336744551373,5.028434674895254,-1.1570468115631087,0.33,0.0,-0.057652381671477605,180.0,-1.0995655039280874,0.0
 9.247326666747139,4.732270419572294,5.028270769046399,-1.1835344406690644,0.3288326060689749,-0.0484613436300943,-0.06183708147194012,180.0,-1.163537433322815,0.0
